sma_length,frequency,anchor,label,is_anchor_variant,cagr,sharpe,annualized_vol,max_drawdown,annual_turnover,avg_trade_cost_bps,total_cost_bps_annualized,n_rebalances,n_short_period_fallbacks
150,daily,,daily,True,0.04933029506770792,0.16170720193506016,0.16354830574549895,0.6799647031281091,19.522212612863115,14.83838215515487,291.0149666711169,7299,0
150,weekly,1.0,weekly_01,True,0.07324815509135751,0.30273558941300227,0.1663656361798433,0.5779282690891323,8.618635582467878,14.825943057492903,128.31802593581202,1514,0
150,weekly,2.0,weekly_02,True,0.08559623491545176,0.37405564559035653,0.1676565492069798,0.5062874456591362,7.987624322826046,14.836428073755886,118.93959842086393,1513,1
150,weekly,3.0,weekly_03,True,0.08474302168921932,0.3692816337162514,0.16751351780567428,0.5386850954975755,8.058042729570898,14.833079739708872,120.12732837116995,1513,2
150,weekly,4.0,weekly_04,True,0.08200187648552548,0.3528835737520004,0.167529816399698,0.5781933120544452,8.226895954360506,14.837651123386175,122.73678105900937,1513,4
150,weekly,5.0,weekly_05,True,0.06913699739451418,0.27495229326585047,0.16822424239760067,0.6441406108827061,8.44428586937177,14.839404595393365,125.8895422672229,1513,263
150,monthly,1.0,monthly_01,True,0.09147167464232675,0.39839661268368487,0.17216089769417867,0.5889617058236692,3.65422996808416,14.823150805472444,54.42903791839098,348,0
150,monthly,2.0,monthly_02,True,0.09135350386641017,0.3968745235565763,0.1725234139204349,0.5677273391087491,3.60665481860789,14.847526740336562,53.8040031382832,348,0
150,monthly,3.0,monthly_03,True,0.09149615376014264,0.39861159581619626,0.1721294571355047,0.535610005183313,3.6067263725682683,14.843360452834949,53.81877372348847,348,0
150,monthly,4.0,monthly_04,True,0.09096258530590884,0.392793226242333,0.17332078201247783,0.5353350452552421,3.599402513722401,14.845255986356612,53.709512537499045,348,0
150,monthly,5.0,monthly_05,True,0.08783827213929984,0.37516083743203377,0.17313885004503937,0.5400544083817551,3.5821631324994354,14.857923568026557,53.477891659588025,348,0
150,monthly,6.0,monthly_06,True,0.08676484279928465,0.37325239228569085,0.17114823094289938,0.5204083462519671,3.713822113395156,14.886057641256656,55.525557931109674,348,0
150,monthly,7.0,monthly_07,True,0.09488868566605335,0.423723424023793,0.16993473907552145,0.4601403253067383,3.545440272383094,14.882299332682136,53.000607399462794,348,0
150,monthly,8.0,monthly_08,True,0.08744849790088427,0.3809921242487249,0.1694658173415426,0.5851601310340919,3.6366619612331,14.864807376909955,54.36013260483382,348,0
150,monthly,9.0,monthly_09,True,0.09044362946191686,0.39302303282837914,0.17189901775307598,0.5196519716690535,3.7427294822318897,14.866157924270125,55.91000659372104,348,0
150,monthly,10.0,monthly_10,True,0.09183368187032337,0.4026253734127685,0.17125181436405018,0.49942295621361255,3.758633766803862,14.866297579882911,56.126280426845035,348,0
150,monthly,11.0,monthly_11,True,0.09725131669795095,0.43955843408928075,0.16918788212459182,0.4543579303382015,3.698277334636901,14.853868065726724,55.1944539148192,348,0
150,monthly,12.0,monthly_12,True,0.09375934835482469,0.4131625309772895,0.17154506247890375,0.504232010847573,3.583075071779012,14.872923162287092,53.52573131433957,348,0
150,monthly,13.0,monthly_13,True,0.0907244145436108,0.3964350436233463,0.17112780383684537,0.5405067446284626,3.6672450223131827,14.862276116551214,54.73177443456421,348,0
150,monthly,14.0,monthly_14,True,0.09247688037435964,0.4067155147367362,0.17111106335597606,0.5444618332235716,3.67320729395717,14.84455988075959,54.77093892143192,348,0
150,monthly,15.0,monthly_15,True,0.09387293749686343,0.42071937964478245,0.1687338039726553,0.5052064068918922,3.7096898697009744,14.837139047510258,55.18726413288633,348,0
150,monthly,16.0,monthly_16,True,0.09680392521700187,0.43375071855277725,0.17042177889469923,0.4831434428417487,3.8126088137572465,14.836193223340796,56.75104091439699,348,1
150,monthly,17.0,monthly_17,True,0.09731956136937114,0.434018484754574,0.1715046889007027,0.49720229671207317,3.871441310338542,14.821912754853896,57.64281869881266,348,1
150,monthly,18.0,monthly_18,True,0.09730587520058553,0.4346938401569045,0.17120674866094002,0.5035848913325316,3.8184598562967205,14.83808152638605,56.90149062633266,348,1
150,monthly,19.0,monthly_19,True,0.09619652411369817,0.4290039632771108,0.1708915866167854,0.5073426329447095,3.7955528340258238,14.84832007270284,56.60128057517182,348,1
150,monthly,20.0,monthly_20,True,0.09798775365264145,0.4356661618518485,0.17238978847707181,0.5059315643798875,3.7030846638007273,14.849940625318919,55.21438104106826,348,41
