sma_length,n_anchors,pooled_cagr_range,cagr_total_ss,cagr_within_frequency_ss,cagr_between_frequency_ss,within_frequency_share,between_frequency_share
150,27,0.0488620449849566,0.002915775135510407,0.00047315414344168907,0.0024426209920687197,0.16227387965528534,0.8377261203447153
175,27,0.042203818706153105,0.0021671255897573144,0.0003805573833354256,0.001786568206421891,0.17560467429026222,0.8243953257097388
200,27,0.038641499841721196,0.0018159609439207195,0.0003716782630273193,0.0014442826808934008,0.20467304887342658,0.7953269511265737
225,27,0.0397669344627387,0.001753786682090601,0.0003378528157520614,0.0014159338663385416,0.19264190976141068,0.8073580902385904
250,27,0.04129421636589469,0.0017997025107729502,0.00026451218841062326,0.001535190322362327,0.1469755066891686,0.8530244933108314
