sma_length,n_variants,cagr_daily,cagr_headline,headline_rank_among_anchors,cagr_min,cagr_max,cagr_range,cagr_std,sharpe_min,sharpe_max,sharpe_range,sharpe_std,gap_daily_to_index,range_over_daily_gap,gap_headline_to_index,range_over_headline_gap
150,27,0.04933029506770792,0.09074117807165138,12,0.04933029506770792,0.09819234005266453,0.04886204498495661,0.010589862960380133,0.16170720193506016,0.43955843408928075,0.2778512321542206,0.059794173413738314,0.05043569472498355,0.9687988883942661,0.009024811721040082,5.41418995712028
175,27,0.055261894930183075,0.08863662980563092,11,0.055261894930183075,0.09746571363633616,0.042203818706153085,0.009129676019521997,0.1986646262039942,0.4393582319300102,0.24069360572601603,0.051514916686604406,0.04450409486250839,0.948313157172125,0.01112935998706055,3.7921155174440377
200,27,0.057348161167632306,0.08395669227603642,9,0.057348161167632306,0.09598966100935358,0.03864149984172127,0.008357311271530969,0.21175096953320582,0.4327480795164701,0.22099710998326427,0.04741552051378656,0.04241782862505916,0.9109730765165346,0.015809297516655052,2.4442262409833555
225,27,0.05490656331725852,0.08360845242993165,10,0.05490656331725852,0.09467349777999723,0.03976693446273871,0.008212997864760565,0.19698062628037494,0.424617774915243,0.22763714863486806,0.0467566580872593,0.04485942647543295,0.8864788872081742,0.016157537362759822,2.4612002169584484
250,27,0.05305806126838908,0.08584126910608703,13,0.05305806126838908,0.09435227763428378,0.0412942163658947,0.008319815342747764,0.18590974527564094,0.4257735911661994,0.23986384589055845,0.04763367298798639,0.04670792852430239,0.8840943640737373,0.013924720686604442,2.9655328315216885
