strategy,mean,t_stat,critical_value,adjusted_p,rejected_at_step,significant
index__monthly,-7.071635036657929e-05,-0.6719999680380864,1.712149358765513,0.94,0,False
index__daily,-0.0001341385881994241,-1.1777888883617835,1.712149358765513,0.985,0,False
constituents_equal_weight__monthly,-0.0002068013952900357,-1.7249844761945348,1.712149358765513,0.997,0,False
constituents_equal_weight__daily,-0.00028929863631195366,-2.2165609359990137,1.712149358765513,1.0,0,False
constituents_sma200__monthly,-0.00036003585651405,-2.257685113606147,1.712149358765513,1.0,0,False
constituents_sma200__daily,-0.00036047733067396857,-2.2595375977926673,1.712149358765513,1.0,0,False
