sma_length,level,costs,cagr,sharpe,annualized_vol,max_drawdown,annual_turnover,total_cost_bps_annualized
150,index,on,0.05693731020707493,0.2817542819740788,0.1208640159932842,0.3634862139965429,9.494451294697903,130.7325105614128
150,constituent,on,0.04933029506770792,0.16170720193506016,0.16354830574549895,0.6799647031281091,19.522212612863115,291.0149666711169
150,index,off,0.0708576563141996,0.3972928562567431,0.12075298962540001,0.30785846834150155,9.494451294697903,0.0
150,constituent,off,0.08032753112784263,0.3512684904311557,0.16353352642860353,0.6226091566772283,19.522212612863115,0.0
175,index,on,0.06761961776793224,0.3667307638262608,0.12198666165007782,0.2940978246833498,7.630086313193588,105.6706605605187
175,constituent,on,0.055261894930183075,0.1986646262039942,0.162980895917285,0.6656934665996959,17.56436913515017,262.37053537659324
175,index,off,0.07897087413004189,0.46010772934270994,0.1219008384096971,0.2661148892328137,7.630086313193588,0.0
175,constituent,off,0.08332529927149568,0.37093134864703575,0.16294644097236005,0.6088961902346484,17.56436913515017,0.0
200,index,on,0.07430296506171952,0.4208169401013993,0.12218996907526103,0.25315105763257395,6.249075215782984,86.82718294707675
200,constituent,on,0.057348161167632306,0.21175096953320582,0.16276102574276113,0.6500790630340231,16.041808687374033,239.95895976182877
200,index,off,0.0836795444292131,0.4980892779471355,0.12205881747826365,0.2401162475239259,6.249075215782984,0.0
200,constituent,off,0.08303605785126611,0.3696473656780919,0.16272996177461369,0.5952749272855176,16.041808687374033,0.0
225,index,on,0.07262232101179689,0.4037371167863531,0.12319641365481354,0.26033401561637237,6.456226880394574,91.18979447934137
225,constituent,on,0.05490656331725852,0.19698062628037494,0.16257033880730132,0.6493525428699636,15.18211311977396,227.38381713653223
225,index,off,0.08245684988431567,0.483977885933535,0.12309135489738755,0.24726558064880355,6.456226880394574,0.0
225,constituent,off,0.07917672582723578,0.3463571466066801,0.16252983434691023,0.5963124084074136,15.18211311977396,0.0
250,index,on,0.07138296371430575,0.3846324622935873,0.12609338083612603,0.25800009289866455,5.07521578298397,72.12005010300527
250,constituent,on,0.05305806126838908,0.18590974527564094,0.16230835591360038,0.6264550874373538,14.380482676961098,215.56714895132748
250,index,off,0.07914449837700999,0.44635406723128085,0.12604599429688718,0.2534461536775986,5.07521578298397,0.0
250,constituent,off,0.07601275871946456,0.3273716680300087,0.162290777558096,0.5693879815715808,14.380482676961098,0.0
