strategy,mean,t_stat,critical_value,adjusted_p,rejected_at_step,significant
index__monthly,-6.157285809348058e-05,-0.6762537270890288,1.7700489812914844,0.931,0,False
index__daily,-0.0001377142664740726,-1.4254295768225975,1.7700489812914844,0.993,0,False
constituents_sma200__monthly,-0.0002048018809438607,-1.7318827390210365,1.7700489812914844,0.998,0,False
constituents_sma200__daily,-0.00020814092800337501,-1.7564967161230816,1.7700489812914844,0.998,0,False
constituents_equal_weight__monthly,-0.0001804716727760307,-1.7870155865941526,1.7700489812914844,0.998,0,False
constituents_equal_weight__daily,-0.00026032818796711436,-2.430819731427819,1.7700489812914844,0.999,0,False
