sma_length,index_on,index_off,constituent_on,constituent_off,index_cost_drag,constituent_cost_drag,shortfall,whipsaw_component,cost_component,residual
150,0.05693731020707493,0.0708576563141996,0.04933029506770792,0.08032753112784263,0.01392034610712467,0.030997236060134714,0.007607015139367013,-0.009469874813643031,0.017076889953010044,0.0
175,0.06761961776793224,0.07897087413004189,0.055261894930183075,0.08332529927149568,0.011351256362109652,0.028063404341312603,0.012357722837749163,-0.004354425141453788,0.01671214797920295,0.0
200,0.07430296506171952,0.0836795444292131,0.057348161167632306,0.08303605785126611,0.009376579367493587,0.025687896683633804,0.01695480389408721,0.0006434865779469945,0.016311317316140217,0.0
225,0.07262232101179689,0.08245684988431567,0.05490656331725852,0.07917672582723578,0.009834528872518788,0.024270162509977267,0.01771575769453837,0.0032801240570798917,0.014435633637458478,0.0
250,0.07138296371430575,0.07914449837700999,0.05305806126838908,0.07601275871946456,0.007761534662704239,0.02295469745107548,0.01832490244591667,0.0031317396575454293,0.01519316278837124,0.0
