sma_length,frequency,n_anchors,cagr_mean,cagr_min,cagr_max,cagr_range,cagr_std,sharpe_range
150,daily,1,0.0493302950677079,0.0493302950677079,0.0493302950677079,0.0,,0.0
150,monthly,21,0.09316154307076771,0.0867648427992846,0.0981923400526645,0.011427497253379895,0.0035868001860498637,0.0663060418035899
150,weekly,5,0.07894525711521358,0.0691369973945141,0.0855962349154517,0.0164592375209376,0.007345941599766879,0.09910335232450607
175,daily,1,0.055261894930183,0.055261894930183,0.055261894930183,0.0,,0.0
175,monthly,21,0.09241646238576615,0.085682872071624,0.0974657136363361,0.011782841564712099,0.0034872979423128665,0.07136394319904943
175,weekly,5,0.07999996766485208,0.0725112323336909,0.0855081067882685,0.012996874454577603,0.005859446316978988,0.07751832057515301
200,daily,1,0.0573481611676323,0.0573481611676323,0.0573481611676323,0.0,,0.0
200,monthly,21,0.0896515307675692,0.0825361974658942,0.0959896610093535,0.01345346354345929,0.00409956478888959,0.08236656170486728
200,weekly,5,0.07769441678283454,0.0734240344675325,0.0805833454278557,0.007159310960323198,0.0029811756850801467,0.04425599913221967
225,daily,1,0.0549065633172585,0.0549065633172585,0.0549065633172585,0.0,,0.0
225,monthly,21,0.08780674911105622,0.080226674885663,0.0946734977799972,0.014446822894334202,0.003988010643077404,0.08462869205875367
225,weekly,5,0.07661909545642684,0.0728007697908927,0.0784264608410911,0.005625691050198403,0.002223074333332587,0.0354885643329535
250,daily,1,0.053058061268389,0.053058061268389,0.053058061268389,0.0,,0.0
250,monthly,21,0.08764439483701023,0.0806788769334971,0.0943522776342837,0.013673400700786598,0.0035570490434279197,0.08299005667773479
250,weekly,5,0.07624633546196918,0.0738519588850725,0.078296425471859,0.004444466586786502,0.001692648107522179,0.028421797067370302
