leg,variant,description,cagr,annualized_vol,sharpe_geometric,sharpe_arithmetic,max_drawdown,c,avg_weight,pct_time_levered,annual_turnover,overlay_cost_bps,deflated_sharpe_vs_bh
index,buy_and_hold,S&P 500 total-return series,0.09976598979269147,0.19268987016329425,0.3989967586939263,0.5068479535092318,0.5520101707082634,,1.0,0.0,0.0,0.0,
index,vol_managed_monthly_gross,S&P 500 total-return series,0.09732126820921438,0.14197199518482978,0.5243140518517189,0.612582331977892,0.29502475936424566,7.259115774124197e-05,0.9289279293848014,0.45438356164383564,3.545060848955837,0.0,
index,vol_managed_monthly_net,S&P 500 total-return series,0.09210870833131457,0.14188001192243355,0.487914761416688,0.5789911158692166,0.3014029556531094,7.259115774124197e-05,0.9289279293848014,0.45438356164383564,3.545060848955837,13.603311103191476,0.0771126453555861
index,vol_managed_daily_gross,S&P 500 total-return series,0.08479605811100588,0.13114647578216207,0.4720881867192606,0.5642759897291448,0.3908659099030435,7.259115774124197e-05,0.9287637587718555,0.46506849315068494,8.118488504808726,0.0,
index,vol_managed_daily_net,S&P 500 total-return series,0.07293313271557467,0.13114934067876677,0.3816243092962359,0.4800573172513966,0.4076911925299357,7.259115774124197e-05,0.9287637587718555,0.46506849315068494,8.118488504808726,13.603311103191476,0.01476354353668019
constituents_equal_weight,buy_and_hold,Equal-weight point-in-time constituents,0.12135514838436956,0.2012531099252938,0.48929326983587607,0.5918745481541746,0.5666969621619452,,1.0,0.0,0.0,0.0,
constituents_equal_weight,vol_managed_monthly_gross,Equal-weight point-in-time constituents,0.08886462832209507,0.1412988980319741,0.46696239727772554,0.5621519801784912,0.2780425282231429,6.870592655723641e-05,0.9153785377502897,0.4373972602739726,3.894821930484412,0.0,
constituents_equal_weight,vol_managed_monthly_net,Equal-weight point-in-time constituents,0.08264543750723563,0.14121288077302285,0.42320559580474865,0.5214815607655783,0.28774515582948645,6.870592655723641e-05,0.9153785377502897,0.4373972602739726,3.894821930484412,14.870536377014686,0.005674307219908692
constituents_equal_weight,vol_managed_daily_gross,Equal-weight point-in-time constituents,0.07683718536337936,0.12961228610257297,0.41627094792771147,0.5148811588648836,0.2654133703687429,6.870592655723641e-05,0.9092101729714908,0.44424657534246575,8.889368153028203,0.0,
constituents_equal_weight,vol_managed_daily_net,Equal-weight point-in-time constituents,0.06275167092860201,0.12961156806764754,0.3075984293578654,0.41289903663395217,0.3029051324483695,6.870592655723641e-05,0.9092101729714908,0.44424657534246575,8.889368153028203,14.870536377014686,0.0007783554113696134
constituents_sma200,buy_and_hold,"Constituent SMA-200, daily evaluation",0.057348161167632306,0.16276102574276113,0.21175096953320582,0.32585522139245454,0.6500790630340232,,1.0,0.0,0.0,0.0,
constituents_sma200,vol_managed_monthly_gross,"Constituent SMA-200, daily evaluation",0.0179434405806993,0.0057969130518715425,-0.8521631322535369,0.3120802583521332,0.027188717138621032,1.1311770002219388e-06,0.06335390182778776,0.026164383561643835,0.23942824761783885,0.0,
constituents_sma200,vol_managed_monthly_net,"Constituent SMA-200, daily evaluation",0.017633191284005534,0.005820906953994637,-0.9019496311953703,0.24867003394123524,0.027188717138621032,1.1311770002219388e-06,0.06335390182778776,0.026164383561643835,0.23942824761783885,14.870536377014686,0.006869688256621043
constituents_sma200,vol_managed_daily_gross,"Constituent SMA-200, daily evaluation",0.01749419227185056,0.003704559497472225,-1.4547381129147074,0.3724442872158099,0.00945845993039085,1.1311770002219388e-06,0.061041836149953385,0.024657534246575342,0.5017636063673421,0.0,
constituents_sma200,vol_managed_daily_net,"Constituent SMA-200, daily evaluation",0.016787444938880514,0.0037085836780376895,-1.6437302632816846,0.163534558207234,0.009775147672603235,1.1311770002219388e-06,0.061041836149953385,0.024657534246575342,0.5017636063673421,14.870536377014686,0.006418630959116434
