tape,n_tickers,n_days,first_date,last_date,strategy_cagr,strategy_vol,strategy_sharpe,strategy_max_drawdown,strategy_annual_turnover,strategy_total_trades,strategy_cost_bps_annualized,index_cagr,index_sharpe
legacy_dsf,1148,7300,1996-01-02,2024-12-31,0.08395669227603642,0.16849431669850076,0.3624652588190013,0.5435085403365456,4.541249317942224,21836.0,67.9108377090242,0.09976598979269147,0.3989967586939263
v2_dsf_v2,1148,7299,1996-01-02,2024-12-31,0.08361651980283802,0.16844396048763016,0.36057902045304707,0.5435348241110785,4.55215232075783,21906.0,68.09824038286744,0.10038663610480625,0.40226150284744017
